,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,emotion,id
0,0.0,0.74,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.28,0.0,0.0,0.53,0.14,4,04-10-pn7664
0,0.48,0.0,1.19,0.66,1.17,1.59,1.79,2.51,0.72,1.9,1.0,0.34,1.93,0.0,3.74,0.86,0.0,7,07-04-pn7223
0,2.32,2.15,0.54,1.16,0.0,0.15,0.34,1.25,0.8,0.97,0.25,0.88,0.32,0.11,1.92,1.78,0.0,4,04-08-pn1901
0,0.0,0.0,0.35,0.0,2.28,1.55,0.42,2.34,3.11,1.6,0.18,0.0,1.54,0.0,4.58,0.92,0.47,3,03-06-pn9605
0,1.5,3.12,0.0,2.24,1.41,1.38,0.16,1.8,3.33,1.58,0.0,0.0,0.51,0.0,3.97,1.75,0.0,3,03-18-pn325
0,1.06,2.47,0.0,0.36,0.0,0.11,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.42,0.32,1.24,2,02-10-pn6487
0,0.24,0.0,0.29,0.0,0.0,0.01,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.5,0.0,0.45,0.88,5,05-17-pn3125
0,0.0,0.0,0.89,0.0,0.08,1.41,0.18,0.0,0.0,0.55,0.0,0.0,0.49,0.0,0.0,0.29,1.12,2,02-01-pn2787
0,0.0,0.0,0.11,0.02,2.25,2.07,1.1,2.22,2.49,2.06,0.62,0.41,0.52,0.0,1.47,0.23,3.53,4,04-16-pn1477
0,0.15,0.0,1.5,0.0,1.19,1.87,1.86,2.63,0.87,0.97,0.66,0.16,0.0,0.0,3.26,0.78,2.21,7,07-07-pn3102
0,0.35,0.61,0.34,0.0,0.0,0.96,0.0,0.0,0.0,0.17,0.0,0.1,0.0,0.0,0.0,0.67,0.06,5,05-21-pn9309
0,0.0,0.0,0.74,0.0,0.0,1.6,1.05,0.7,0.0,0.0,0.47,0.23,0.0,0.0,0.0,0.0,0.74,5,05-22-pn138
0,0.0,0.0,0.0,0.18,0.21,0.72,1.01,0.0,0.39,0.45,0.41,0.0,0.1,0.0,0.0,0.0,0.64,3,03-20-pn8094
0,0.0,0.22,0.0,0.41,0.0,1.18,0.39,0.0,0.0,0.0,0.79,0.02,0.79,0.0,0.08,0.28,0.37,4,04-10-pn3672
0,0.33,0.46,1.76,0.4,0.7,2.45,2.97,1.02,0.0,0.97,1.19,1.26,1.63,0.0,2.04,1.56,0.96,7,07-04-pn8540
0,0.63,0.0,0.0,0.0,0.0,1.39,0.32,2.46,0.68,0.0,0.54,0.31,0.0,0.0,2.83,1.83,0.0,5,05-12-pn8226
0,0.33,0.0,0.66,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.24,0.12,1.48,0.23,0.49,8,08-06-pn4553
0,0.0,0.0,1.66,0.14,0.59,2.08,2.28,1.86,0.26,1.07,0.16,0.0,0.08,0.0,3.01,1.9,2.29,5,05-01-pn6686
0,0.44,0.12,0.78,0.0,0.33,1.06,0.35,0.38,0.82,0.34,0.0,0.0,0.0,0.0,1.06,0.93,0.66,3,03-17-pn7769
0,0.02,0.0,0.34,0.0,2.36,1.1,0.26,2.02,3.24,1.38,0.3,0.0,1.42,0.0,4.37,1.22,0.34,3,03-06-pn8430
0,0.68,0.0,1.98,0.42,0.7,0.82,0.11,1.41,0.48,1.14,1.8,0.36,1.81,0.0,4.02,2.49,1.3,6,06-06-pn8116
0,0.07,0.42,0.25,0.0,0.49,0.8,1.31,2.69,0.73,0.97,1.73,1.19,0.0,0.19,2.29,1.15,3.54,7,07-23-pn1657
0,0.0,0.0,1.12,0.0,0.21,1.06,0.03,0.54,0.0,0.5,0.0,0.0,0.93,0.06,0.76,1.25,0.64,1,01-01-pn6883
0,0.0,0.0,1.59,0.0,0.62,2.61,2.97,1.83,0.0,0.22,1.44,0.31,0.24,0.0,2.24,2.04,1.38,7,07-23-pn9537
0,0.0,0.5,1.12,0.0,0.0,2.27,1.14,0.88,0.0,0.14,1.06,0.85,0.0,0.0,0.77,1.93,2.12,5,05-01-pn8758
0,2.6,3.59,0.0,4.09,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,1.94,1.5,0.0,8,08-24-pn363
0,2.4,2.69,0.3,0.59,0.0,0.0,0.0,0.0,0.26,0.96,1.0,0.03,0.73,0.0,1.46,1.86,0.85,4,04-05-pn156
0,0.0,0.0,0.38,0.0,2.3,2.63,2.75,2.13,1.79,1.95,0.0,0.31,1.58,0.0,2.5,0.8,0.8,3,03-03-pn8673
0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.71,0.0,0.99,0.0,0.43,0.49,1.12,1,01-15-pn4580
0,0.0,0.14,0.0,0.4,0.17,0.55,0.19,0.0,0.86,0.89,0.53,0.59,0.0,0.34,0.08,0.66,0.0,1,01-19-pn1576
0,1.03,0.75,0.0,0.59,0.24,0.93,1.21,1.73,0.0,0.13,2.03,1.99,0.0,0.13,0.0,0.64,0.46,7,07-11-pn178
0,0.13,0.0,0.41,0.0,0.05,1.63,1.06,0.17,0.0,0.0,0.29,0.0,0.0,0.0,0.53,0.53,2.27,4,04-22-pn6497
0,0.37,0.28,0.37,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.13,0.14,0.79,0.32,0.0,0.0,0.29,5,05-14-pn990
0,0.0,0.0,1.66,0.2,0.4,2.46,2.07,0.0,0.0,0.0,0.55,0.0,0.0,0.38,0.12,1.34,0.44,7,07-20-pn9411
0,0.0,0.02,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.41,0.0,5,05-11-pn627
0,0.0,0.0,0.3,0.0,2.26,2.97,2.29,1.7,1.51,1.95,0.0,0.09,1.29,0.0,1.35,0.25,0.83,3,03-03-pn3379
0,0.0,0.0,2.26,0.0,2.36,2.76,2.91,1.86,1.02,2.23,1.47,1.28,1.56,0.41,1.04,1.33,1.36,7,07-19-pn8243
0,1.81,1.73,0.52,0.0,0.0,0.0,0.47,1.67,0.47,0.21,1.69,0.79,1.69,0.0,2.7,1.39,3.56,7,07-24-pn7532
0,0.0,0.0,0.35,0.0,0.48,2.92,1.28,0.45,0.53,0.0,0.2,0.0,0.33,0.0,0.78,0.21,1.28,2,02-20-pn1628
0,0.36,0.14,1.56,0.06,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.62,0.89,0.0,6,06-09-pn7296
0,1.47,2.53,0.0,1.32,0.0,0.22,0.0,0.0,0.26,0.54,0.17,0.0,0.26,0.18,0.16,0.0,0.35,8,08-08-pn9550
0,0.0,0.0,0.83,0.08,2.11,3.27,3.02,1.52,1.09,1.94,0.54,0.24,1.89,0.0,2.48,1.98,1.06,3,03-03-pn4520
0,1.03,0.0,2.6,0.0,0.45,2.39,0.61,0.59,0.0,0.16,1.33,0.7,0.07,0.5,0.15,0.1,0.38,7,07-14-pn300
